id,profile_title,user_id,grinder,grinderBrand,grinderModel,grind,grindScale,roastLevel,beanAge,dose,volumeTarget,actualVolume,timeTarget,actualTime,humidity,waterTempC,tampPressureKg
cadf4fb1-0e14-48b2-bcc7-a2897e41d81e,Cremina lever machine,18f46bd1-ace8-4581-9d19-aa00c8e246e7,ek43s,ek43s,,0.9,,espresso,,20,,40.8,,32.038,,,
f9951990-5996-464c-95d4-58eda0518caf,E61 with fast preinfusion to 9 bar,b7dbb68a-29ea-49a3-b017-1be2f5c3cf6c,,,,12,,,,16,,32.4,,19.644,,,
07fc9164-bf75-4e8d-9672-cac5f9c3fc4f,Extractamundo Dos!,f934d348-1f97-4d0d-82c0-d66d16f2206f,P100,P100,,1.3,,Extra-Light,,18.5,,44.6,,20.201,,,
b19e8747-1bc7-4c6e-95a4-356b2e6814bc,Cremina lever machine,6a0ff21c-6c1d-4948-ad0b-e1d401dd097d,,,,0,,,,13,,32.9,,42.703,,,
a82e644d-706c-4971-a62d-3d853051e97c,D-Flow / Pat2,06202e03-487b-4620-a31a-453ea5f405c8,Niche_Zero,Niche,Zero,11,,Medium,,15,,32.1,,26.852,,,
c16967eb-ecd0-4769-b3a4-63ddbc316a09,Visualizer/lever for Steve Langston,ae657cc2-3d01-4ee6-b2f5-7e5023f8a099,Max/brew,Max/brew,,3,,,,18,,37.3,,51.433,,,
e0e89505-0e8c-4a77-9ddd-90bed77b0784,Laura/Extractamundo Dos!,b1c2703d-c324-4982-ad90-5925ec160d5a,Niche,Niche,,8,,Light medium,,18,,36.5,,28.575,,,
1456f94f-670d-4ea6-b422-59a5e8a5a8a3,Damian's LM Leva 2,267ad4fe-4226-41a7-b4b4-4a38328b242c,Kefetek_MC5,Kefetek,MC5,17,,medium dark,,18,,40.3,,30.418,,,
aeb0491e-f42f-405d-9dc8-eb353cd8d36c,Adaptive v2,7b0c0783-9d3e-4289-9e40-ffc4929b8411,weber,weber,,8.4,,light,,18,,36.3,,37.349,,,
689ea30e-a992-4906-80a6-47656177b5f2,Extractamundo Dos!,09bc1580-cc0f-4d07-ba54-1786b6834643,,,,1.4,,3,,18,,33.1,,31.058,,,
68d4e20d-ebe1-440b-a639-4fa646599a4b,D-Flow / default,06202e03-487b-4620-a31a-453ea5f405c8,Niche_Zero,Niche,Zero,12,,Medium,,15,,32.2,,22.84,,,
45579e3d-9a9a-4d76-a0a6-ecced996f6d3,Adaptive v2,30026749-d5ad-4448-b3f9-cec21064d8e8,DF64V,DF64V,,11.5,,Light Medium,,15.2,,28.5,,26.9,,,
